QUALITY_SCORE,SPECIES,OWNER,REGION,COUNTRY_OF_ORIGIN,HARVEST_YEAR,VARIETY,STATUS,PROCESSING_METHOD,AROMA,FLAVOR,AFTERTASTE,ACIDITY,BODY,BALANCE,CLEAN_CUP,SWEETNESS,CUPPER_POINTS,MOISTURE,QUAKERS,CATEGORY_ONE_DEFECTS,CATEGORY_TWO_DEFECTS,COLOR,ALTITUDE_NUMERIC,ALTITUDE_UOM,GRADING_YEAR
73.75,Robusta,Cafe Politico,,Vietnam,2013,NULL,Completed,Natural_Dry,6.75,6.67,6.5,6.83,6.92,6.83,9.33,6.67,7.92,12,0,63,9,None,NULL,NULL,2014
75.08,Robusta,Cafe Politico,,India,2013,NULL,Completed,Natural_Dry,7.42,6.83,6.75,7.17,7.25,7,9.33,7.08,6.92,10,0,20,1,Green,NULL,NULL,2014
77.17,Robusta,James Moore,KWANZA NORTE PROVINCE ANGOLA,USA,2014,NULL,Completed,Natural_Dry,7.33,7.33,7.17,7.42,7.5,7.17,9.33,7.42,7.17,0,0,0,6,NULL,795,m,2014
78.08,Robusta,Luis Robles,SAN JUAN PLAYAS,Ecuador,2016,NULL,Completed,NULL,7.5,7.67,7.75,7.75,5.17,5.25,10,8.42,8.58,0,0,0,0,Blue_Green,40,m,2016
78.75,Robusta,Luis Robles,SAN JUAN PLAYAS,Ecuador,2016,NULL,Completed,NULL,7.75,7.58,7.33,7.58,5.08,7.83,10,7.75,7.83,0,0,0,1,Blue_Green,NULL,NULL,2016
79.33,Robusta,Andrew Hetzel,CHIKMAGALUR,USA,2012,Arusha,Completed,Natural_Dry,7.92,7.5,7.42,7.42,7.42,7.42,10,7.58,7.33,0,0,0,0,Green,3000,m,2012
80.17,Robusta,Andrew Hetzel,CHIKMAGALUR,India,2013,NULL,Completed,Natural_Dry,7.58,7.42,7.42,7.83,7.42,7.5,10,7.42,7.58,0,0,0,0,Green,750,m,2013
80.17,Robusta,Andrew Hetzel,CHIKMAGALUR,India,2014,NULL,Completed,NULL,7.67,7.67,7.5,7.33,7.58,7.5,10,7.42,7.5,0,0,0,1,Bluish_Green,750,m,2014
80.5,Robusta,Mannya coffee project,SOUTHERN,Uganda,2013,NULL,Completed,NULL,7.75,7.42,7.33,7.58,7.67,7.58,10,7.67,7.5,12,0,0,1,Green,1200,m,2014
80.58,Robusta,Nitubaasa Ltd,WESTERN,Uganda,2013,NULL,Completed,NULL,7.83,7.58,7.33,7.67,7.5,7.5,10,7.75,7.42,12,0,0,2,Green,1745,m,2014
80.92,Robusta,Kawacom Uganda LTD,WESTERN,Uganda,2013,NULL,Completed,NULL,7.33,7.58,7.5,7.75,7.75,7.67,10,7.75,7.58,12,0,0,1,Green,1600,m,2014
81.25,Robusta,Andrew Hetzel,CHIKMAGALUR,India,2013,NULL,Completed,Natural_Dry,7.5,7.5,7.25,7.83,7.67,7.83,10,7.83,7.83,13,0,0,0,Blue_Green,750,m,2013
81.42,Robusta,Andrew Hetzel,CHIKMAGALUR,India,2015,NULL,Completed,NULL,7.75,7.75,7.67,7.67,7.58,7.58,10,7.58,7.83,0,0,0,0,Green,1000,m,2015
81.5,Robusta,Ankole coffee producers coop,SOUTH WESTERN,Uganda,2014,NULL,Completed,NULL,8,7.67,7.75,7.5,7.67,7.58,10,7.58,7.75,12,0,0,2,Green,1488,m,2014
81.5,Robusta,Kasozi Coffee Farmers Association,EASTERN,Uganda,2013,NULL,Completed,NULL,8,7.75,7.75,7.58,7.67,7.5,10,7.58,7.67,11,0,0,7,Green,1367,m,2014
81.58,Robusta,Andrew Hetzel,CHIKMAGALUR,India,2014,NULL,Completed,NULL,7.58,7.58,7.67,7.58,7.67,7.67,10,7.5,8.33,0,0,0,1,Green,750,m,2014
81.58,Robusta,Nishant Gurjer,CHIKMAGALUR KARNATAKA,India,2015,Other,Completed,Natural_Dry,7.67,7.83,7.75,7.5,7.75,7.58,10,7.75,7.75,11,0,0,0,Green,1000,m,2016
81.75,Robusta,UGACOF,IGANGA NAMADROPE EASTERN,Uganda,2014,NULL,Completed,NULL,7.58,7.92,7.75,7.83,7.5,7.67,10,7.67,7.83,12,0,0,1,Green,1095,m,2014
82.42,Robusta,UGACOF,WESTERN,Uganda,2014,NULL,Completed,NULL,7.67,7.83,7.83,7.83,7.92,7.75,10,7.75,7.83,12,0,0,6,Green,1100,m,2014
82.5,Robusta,Nishant Gurjer,CHIKMAGALUR KARNATAKA,India,2015,Other,Completed,Washed_Wet,7.67,7.75,7.58,7.83,7.83,8,10,7.92,7.92,9,0,0,0,Green,1000,m,2016
82.5,Robusta,Nishant Gurjer,CHIKMAGALUR KARNATAKA INDIA,India,2017,NULL,Completed,Washed_Wet,7.67,7.75,7.83,7.67,7.92,7.83,10,7.92,7.92,10,0,0,0,Bluish_Green,3140,ft,2017
82.58,Robusta,Andrew Hetzel,CHIKMAGALUR,India,2014,NULL,Completed,NULL,7.67,7.75,7.83,7.83,7.92,7.75,10,8,7.83,0,0,0,0,Green,750,m,2014
82.75,Robusta,Andrew Hetzel,CHIKMAGALUR,India,2012,NULL,Completed,NULL,8,7.92,7.67,8,7.75,7.92,10,7.75,7.75,0,0,0,0,Green,3000,m,2012
83,Robusta,Katuka Development Trust Ltd,LUWERO CENTRAL REGION,Uganda,2013,NULL,Completed,NULL,8.33,7.83,7.83,7.75,8.25,7.75,10,7.58,7.67,12,0,0,3,Green,1250,m,2014
83,Robusta,UGACOF,CENTRAL,Uganda,2013,NULL,Completed,NULL,8,7.92,7.92,7.75,7.83,7.75,10,7.75,8.08,12,0,0,7,Green,1212,m,2014
83.25,Robusta,Andrew Hetzel,CHIKMAGALUR,India,2015,NULL,Completed,NULL,7.92,7.83,7.92,8,7.83,7.92,10,7.83,8,0,0,0,0,Green,1000,m,2015
83.5,Robusta,Nishant Gurjer,CHIKMAGALUR KARNATAKA INDUA,India,2017,NULL,Completed,Washed_Wet,8,7.75,7.92,8,7.92,7.92,10,8,8,0,0,0,2,NULL,3170,ft,2017
83.75,Robusta,Ankole coffee producers coop,SHEEMA SOUTH WESTERN,Uganda,2013,NULL,Completed,NULL,7.83,8.08,7.75,7.92,8.25,7.92,10,8,8,12,0,0,2,Green,1488,m,2014
